classe,arrondissement,item,nom_doc,url,adresse,code_postal,erreurs,nom_txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,12a boulevard Dugommier : Arrêté de péril du 17/12/2018 - Main Levée du 08/03/2019,Arrêté de péril du 17/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/12A-BOULEVARD-DUGOMMIER-13001_2018_03384.pdf,12a boulevard Dugommier,13001.0,False,12A-BOULEVARD-DUGOMMIER-13001_2018_03384.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,12a boulevard Dugommier : Arrêté de péril du 17/12/2018 - Main Levée du 08/03/2019,Main Levée du 08/03/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ML_12A-BOULEVARD-DUGOMMIER-13001_2019_00839.pdf,12a boulevard Dugommier,13001.0,False,ML_12A-BOULEVARD-DUGOMMIER-13001_2019_00839.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,10 rue Glandèves / 22 rue Saint-Saëns : Arrêté de péril du 17/12/2019 - Main levée partielle du 05/02/2019  Arrêté de mise en sécurité du 19/01/2021,Arrêté de péril du 17/12/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/10-RUE-GLANDEVES_22-RUE-SAINT-SAENS_2018_03372.pdf,10 rue Glandèves / 22 rue Saint-Saëns,13001.0,False,10-RUE-GLANDEVES_22-RUE-SAINT-SAENS_2018_03372.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,10 rue Glandèves / 22 rue Saint-Saëns : Arrêté de péril du 17/12/2019 - Main levée partielle du 05/02/2019  Arrêté de mise en sécurité du 19/01/2021,Main levée partielle du 05/02/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/10-RUE-GLANDEVES_22-RUE-SAINT-SAENS-13001_ML_2019_00408.pdf,10 rue Glandèves / 22 rue Saint-Saëns,13001.0,False,10-RUE-GLANDEVES_22-RUE-SAINT-SAENS-13001_ML_2019_00408.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,10 rue Glandèves / 22 rue Saint-Saëns : Arrêté de péril du 17/12/2019 - Main levée partielle du 05/02/2019  Arrêté de mise en sécurité du 19/01/2021,Arrêté de mise en sécurité du 19/01/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/10-rue-glandeves-13001_mes_ndeg2021_00193_du_19-01-21.pdf,10 rue Glandèves / 22 rue Saint-Saëns,13001.0,True,10-rue-glandeves-13001_mes_ndeg2021_00193_du_19-01-21.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,9 rue de la Fare : Arrêté de péril du 17/12/2018 - Main levée du 10/04/2019,Arrêté de péril du 17/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/9-RUE-DE-LA-FARE-13001_2018_03378.pdf,9 rue de la Fare,13001.0,False,9-RUE-DE-LA-FARE-13001_2018_03378.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,9 rue de la Fare : Arrêté de péril du 17/12/2018 - Main levée du 10/04/2019,Main levée du 10/04/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_9-rue-de-la-fare-13001_2019_01225.pdf,9 rue de la Fare,13001.0,False,ml_9-rue-de-la-fare-13001_2019_01225.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,25 rue des Dominicaines,25 rue des Dominicaines,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/25-RUE-DES-DOMINICAINES-13001_2018_03393.pdf,25 rue des Dominicaines,13001.0,False,25-RUE-DES-DOMINICAINES-13001_2018_03393.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,25 boulevard de la Libération - Main Levée du 19/11/2019,25 boulevard de la Libération,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/25-BD-DE-LA-LIBERATION-13001_2018_03394.pdf,25 boulevard de la Libération,13001.0,False,25-BD-DE-LA-LIBERATION-13001_2018_03394.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,25 boulevard de la Libération - Main Levée du 19/11/2019,Main Levée du 19/11/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-25-bd-de-la-liberation-13001_2019_03883.pdf,25 boulevard de la Libération,13001.0,False,ml-25-bd-de-la-liberation-13001_2019_03883.txt
