adresse,code_postal,ville,adrs
31 rue Nau,13006,Marseille,31 rue Nau
59 place Jean Jaurès,13006,Marseille,59 place Jean Jaurès
61 place Jean Jaurès,13006,Marseille,61 place Jean Jaurès
15 rue de Loubière,13006,Marseille,15 rue de Loubière
129 rue d'Aubagne,13006,Marseille,129 rue d'Aubagne
34 rue Falque,13006,Marseille,34 rue Falque
7 rue André Poggioli,13006,Marseille,7 rue André Poggioli
2 rue Nau,13006,Marseille,2 rue Nau
11 rue de Village,13006,Marseille,11 rue de Village
38 rue du Docteur Escat,13006,Marseille,38 rue du Docteur Escat
53 rue Fongate,13006,Marseille,53 rue Fongate
16 rue de Bruys,13005,Marseille,16 rue de Bruys
55 rue Fongate,13006,Marseille,55 rue Fongate
26 cours Julien,13006,Marseille,26 cours Julien
20 place Notre-Dame du Mont,13006,Marseille,20 place Notre-Dame du Mont
215 rue Rome,13006,Marseille,215 rue Rome
99 rue Tilsit,13006,Marseille,99 rue Tilsit
41 rue des Bons Enfants,13006,Marseille,41 rue des Bons Enfants
28 rue des Trois Rois,13006,Marseille,28 rue des Trois Rois
15 rue Pastoret,13006,Marseille,15 rue Pastoret
118 cours Lieutaud,13006,Marseille,118 cours Lieutaud
90 rue Edmond Rostand,13006,Marseille,90 rue Edmond Rostand
