classe,arrondissement,item,nom_doc,url,adresse,code_postal
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,53 rue des Trois Frères Barthélemy : Arrêté de péril du 03/12/2018 - Main Levée du 04/03/2019,Arrêté de péril du 03/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/53-RUE-DES-TROIS-FRERES-BARTHELEMY_2018_03114.pdf,53 rue des Trois Frères Barthélemy,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,53 rue des Trois Frères Barthélemy : Arrêté de péril du 03/12/2018 - Main Levée du 04/03/2019,Main Levée du 04/03/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ML_53-RUE-DES-TROIS-FRERES-BARTHELEMY_2019_00726.pdf,53 rue des Trois Frères Barthélemy,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,7 rue des Trois Rois : Arrêté de péril grave et imminent du 03/02/2020 - Arrêté de péril ordinaire du 24/09/2020,Arrêté de péril grave et imminent du 03/02/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_7-rue-des-trois-rois-13006_2020_00814_vdm.pdf,7 rue des Trois Rois,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,7 rue des Trois Rois : Arrêté de péril grave et imminent du 03/02/2020 - Arrêté de péril ordinaire du 24/09/2020,Arrêté de péril ordinaire du 24/09/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/po_7-rue-des-trois-rois-13006_2020_02149_vdm.pdf,7 rue des Trois Rois,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,28 rue des Trois Rois : Arrêté de péril du 03/02/2020 - Arrêté de péril ordinaire du 24/09 - Arrêté de main levée du 19/11/2020,Arrêté de péril du 03/02/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_28-rue-des-trois-rois-13006_2020_00270_vdm.pdf,28 rue des Trois Rois,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,28 rue des Trois Rois : Arrêté de péril du 03/02/2020 - Arrêté de péril ordinaire du 24/09 - Arrêté de main levée du 19/11/2020,Arrêté de péril ordinaire du 24/09,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/po_28-rue-des-trois-rois-13006_2020_02117_vdm.pdf,28 rue des Trois Rois,13006
?,6ème arrondissement,28 rue des Trois Rois : Arrêté de péril du 03/02/2020 - Arrêté de péril ordinaire du 24/09 - Arrêté de main levée du 19/11/2020,Arrêté de main levée du 19/11/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/28-rue-des-trois-rois-13006_po-2020_02738.pdf,28 rue des Trois Rois,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,6/6A rue des Tartares et 13 rue des Amoureux : Arrêtéde péril du 16/04/2021- Main Levée du 25/02/21,Arrêtéde péril du 16/04/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/6-6A-rue-des-tartares-13-rue-des-amoureux_PI%202018_03013_VDM-edited-2.pdf,6/6A rue des Tartares et 13 rue des Amoureux,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,6/6A rue des Tartares et 13 rue des Amoureux : Arrêtéde péril du 16/04/2021- Main Levée du 25/02/21,Main Levée du 25/02/21,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-6-6a-rue-des-tartares-et-13-rue-des-amoureux-13006_2021_00598.pdf,6/6A rue des Tartares et 13 rue des Amoureux,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,10 rue des Vignerons : Main levée du 25/09/2020,Main levée du 25/09/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_10-rue-des-vignerons-13006_2020_02229_vdm.pdf,10 rue des Vignerons,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,12 rue des Vignerons : Arrêté de péril du 16/04/2021 - Main Levée du 04/06/2019,Arrêté de péril du 16/04/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/12-RUE-DES-VIGNERONS-13006_2019_00425.pdf,12 rue des Vignerons,13006
